"STATISTIC","Statistic Label","TLIST(M1)","Month","C01409V03262","Type of Material","UNIT","VALUE"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","700","Plumbing materials including sanitary ware","%","11.4"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","701","HVAC (heating and ventilation equipment)","%","5.1"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","702","Insulating materials","%","-2.5"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","703","Pipes and fittings","%","15"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","70371","PVC pipes and fittings","%","10.8"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","70372","Copper pipes and fittings","%","16.8"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","704","Plaster","%","28.2"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","705","Paints, oils and varnishes","%","10.9"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","706","Glass","%","6.3"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","708","All other metal fittings","%","0.1"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","709","All other products","%","5.7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","-","Materials","%","2.2"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","601","Stone, sand and gravel","%","8.6"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","60161","Sand and gravel","%","1.5"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","60162","Stone","%","10.1"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","611","Cement","%","14.7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","621","Ready mixed mortar and concrete","%","15"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","631","Concrete blocks and bricks","%","11.6"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","64","Other concrete products including precast","%","2"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","64261","Other concrete products (excluding precast concrete)","%",""
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","64262","Precast concrete","%",""
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","65","Structural steel and reinforcing metal","%","-8"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","651","Structural steel","%","4.2"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","65161","Other structural steel","%","-29.5"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","65162","Structural steel fabricated metal","%","8.1"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","652","Reinforcing metal","%","-27.4"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","653","Other steel products","%","15"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","661","Rough timber (including plain sawn)","%","-22.1"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","66161","Rough timber (softwood)","%","-22.2"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","66162","Rough timber (hardwood)","%","-21.6"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","671","Machined, treated engineered timber","%","-17.7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","67161","Other treated timber","%","-31.3"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","67162","Wooden windows and doors","%","-0.1"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202307","2023 July","68","Bituminous macadam, asphalt and bituminous emulsions","%","3.2"
