"STATISTIC","Statistic Label","TLIST(M1)","Month","C02803V03373","Type of Residential Property","UNIT","VALUE"
"HPM09C01","Residential Property Price Index","200601","2006 January","14","Midland - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200601","2006 January","15","West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200601","2006 January","22","Mid-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200601","2006 January","23","Mid-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200601","2006 January","24","South-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200601","2006 January","19","South-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200602","2006 February","-","National - all residential properties","Base 2015=100","141.7"
"HPM09C01","Residential Property Price Index","200602","2006 February","01","National - houses","Base 2015=100","137.7"
"HPM09C01","Residential Property Price Index","200602","2006 February","02","National - apartments","Base 2015=100","169"
"HPM09C01","Residential Property Price Index","200602","2006 February","05","Dublin - all residential properties","Base 2015=100","137.9"
"HPM09C01","Residential Property Price Index","200602","2006 February","06","Dublin - houses","Base 2015=100","132.3"
"HPM09C01","Residential Property Price Index","200602","2006 February","07","Dublin - apartments","Base 2015=100","160.7"
"HPM09C01","Residential Property Price Index","200602","2006 February","08","Dublin City - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200602","2006 February","09","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200602","2006 February","10","Fingal - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200602","2006 February","11","South Dublin - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200602","2006 February","03","National excluding Dublin - all residential properties","Base 2015=100","158.9"
"HPM09C01","Residential Property Price Index","200602","2006 February","04","National excluding Dublin - houses","Base 2015=100","155.9"
"HPM09C01","Residential Property Price Index","200602","2006 February","12","National excluding Dublin - apartments","Base 2015=100","216.2"
"HPM09C01","Residential Property Price Index","200602","2006 February","21","Border - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200602","2006 February","14","Midland - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200602","2006 February","15","West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200602","2006 February","22","Mid-East - houses","Base 2015=100",""
